+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
| 191  |                                 NCGC00378827-01                                 | SARS-CoV2 3CL Protease |      1.54     |
| 192  |                                 NCGC00475728-01                                 | SARS-CoV2 3CL Protease |      1.56     |
| 193  |                                 NCGC00386715-01                                 | SARS-CoV2 3CL Protease |      1.56     |
| 194  |                                 NCGC00385876-01                                 | SARS-CoV2 3CL Protease |      1.57     |
| 195  |                                 NCGC00180662-03                                 | SARS-CoV2 3CL Protease |      1.57     |
| 196  |                                 NCGC00386351-01                                 | SARS-CoV2 3CL Protease |      1.57     |
| 197  |                                 NCGC00381121-01                                 | SARS-CoV2 3CL Protease |      1.58     |
| 198  |                                 NCGC00015128-05                                 | SARS-CoV2 3CL Protease |      1.58     |
| 199  |                                 NCGC00509886-03                                 | SARS-CoV2 3CL Protease |      1.60     |
| 200  |                                 NCGC00386070-01                                 | SARS-CoV2 3CL Protease |      1.60     |
| 201  |                                 NCGC00510478-01                                 | SARS-CoV2 3CL Protease |      1.61     |
| 202  |                                 NCGC00167485-02                                 | SARS-CoV2 3CL Protease |      1.62     |
| 203  |                                 NCGC00167510-02                                 | SARS-CoV2 3CL Protease |      1.62     |
| 204  |                         NCGC00016819-05&NCGC00016819-06                         | SARS-CoV2 3CL Protease |      1.62     |
| 205  |                                 NCGC00169078-03                                 | SARS-CoV2 3CL Protease |      1.64     |
| 206  |                                 NCGC00344630-02                                 | SARS-CoV2 3CL Protease |      1.64     |
| 207  |                                 NCGC00380082-01                                 | SARS-CoV2 3CL Protease |      1.64     |
| 208  |                                 NCGC00346576-01                                 | SARS-CoV2 3CL Protease |      1.66     |
| 209  |                                 NCGC00389415-02                                 | SARS-CoV2 3CL Protease |      1.66     |
| 210  |                                 NCGC00345451-03                                 | SARS-CoV2 3CL Protease |      1.66     |
| 211  |                                 NCGC00389480-01                                 | SARS-CoV2 3CL Protease |      1.67     |
| 212  |                                 NCGC00373230-02                                 | SARS-CoV2 3CL Protease |      1.67     |
| 213  |                                 NCGC00022019-03                                 | SARS-CoV2 3CL Protease |      1.67     |
| 214  |                 NCGC00346694-02&NCGC00346694-03&NCGC00346694-04                 | SARS-CoV2 3CL Protease |      1.68     |
| 215  |                                 NCGC00380937-01                                 | SARS-CoV2 3CL Protease |      1.69     |
| 216  |                         NCGC00390625-01&NCGC00390625-02                         | SARS-CoV2 3CL Protease |      1.69     |
| 217  |                                 NCGC00390604-01                                 | SARS-CoV2 3CL Protease |      1.71     |
| 218  |                                 NCGC00183015-01                                 | SARS-CoV2 3CL Protease |      1.71     |
| 219  |                                 NCGC00016391-13                                 | SARS-CoV2 3CL Protease |      1.71     |
| 220  |                                 NCGC00263875-02                                 | SARS-CoV2 3CL Protease |      1.73     |
| 221  |                                 NCGC00385546-01                                 | SARS-CoV2 3CL Protease |      1.73     |
| 222  |                                 NCGC00381147-01                                 | SARS-CoV2 3CL Protease |      1.73     |
| 223  |                                 NCGC00390276-01                                 | SARS-CoV2 3CL Protease |      1.74     |
| 224  |                                 NCGC00013058-02                                 | SARS-CoV2 3CL Protease |      1.75     |
| 225  |                                 NCGC00263603-10                                 | SARS-CoV2 3CL Protease |      1.75     |
| 226  |                                 NCGC00177979-05                                 | SARS-CoV2 3CL Protease |      1.75     |
| 227  |                                 NCGC00381227-01                                 | SARS-CoV2 3CL Protease |      1.76     |
| 228  |                                 NCGC00381057-01                                 | SARS-CoV2 3CL Protease |      1.76     |
| 229  |                                 NCGC00386055-01                                 | SARS-CoV2 3CL Protease |      1.77     |
| 230  |                                 NCGC00180769-03                                 | SARS-CoV2 3CL Protease |      1.78     |
| 231  |                         NCGC00346875-02&NCGC00346875-03                         | SARS-CoV2 3CL Protease |      1.78     |
| 232  |                                 NCGC00485834-01                                 | SARS-CoV2 3CL Protease |      1.79     |
| 233  |                 NCGC00242597-01&NCGC00242597-02&NCGC00242597-10                 | SARS-CoV2 3CL Protease |      1.79     |
| 234  |                                 NCGC00385132-01                                 | SARS-CoV2 3CL Protease |      1.79     |
| 235  |                                 NCGC00380242-01                                 | SARS-CoV2 3CL Protease |      1.80     |
| 236  |                                 NCGC00179312-03                                 | SARS-CoV2 3CL Protease |      1.80     |
| 237  |                                 NCGC00015280-04                                 | SARS-CoV2 3CL Protease |      1.80     |
| 238  |                                 NCGC00482625-01                                 | SARS-CoV2 3CL Protease |      1.81     |
| 239  |                                 NCGC00346874-02                                 | SARS-CoV2 3CL Protease |      1.87     |
| 240  |                         NCGC00025346-08&NCGC00025346-15                         | SARS-CoV2 3CL Protease |      1.91     |
| 241  |                         NCGC00346896-02&NCGC00346896-03                         | SARS-CoV2 3CL Protease |      1.91     |
| 242  |                                 NCGC00380152-01                                 | SARS-CoV2 3CL Protease |      1.91     |
| 243  |                                 NCGC00380384-01                                 | SARS-CoV2 3CL Protease |      1.91     |
| 244  |                                 NCGC00167500-02                                 | SARS-CoV2 3CL Protease |      1.91     |
| 245  |                         NCGC00167832-03&NCGC00167832-06                         | SARS-CoV2 3CL Protease |      1.92     |
| 246  |                                 NCGC00247878-08                                 | SARS-CoV2 3CL Protease |      1.94     |
| 247  |                                 NCGC00091033-09                                 | SARS-CoV2 3CL Protease |      1.96     |
| 248  |                                 NCGC00389282-01                                 | SARS-CoV2 3CL Protease |      1.96     |
| 249  |                                 NCGC00386216-07                                 | SARS-CoV2 3CL Protease |      1.96     |
| 250  |                                 NCGC00381170-01                                 | SARS-CoV2 3CL Protease |      1.96     |
| 251  |                                 NCGC00167435-07                                 | SARS-CoV2 3CL Protease |      1.97     |
| 252  |                         NCGC00015080-06&NCGC00015080-07                         | SARS-CoV2 3CL Protease |      1.98     |
| 253  |                                 NCGC00015080-08                                 | SARS-CoV2 3CL Protease |      1.98     |
| 254  |                                 NCGC00384820-01                                 | SARS-CoV2 3CL Protease |      1.99     |
| 255  |                         NCGC00015714-12&NCGC00015714-16                         | SARS-CoV2 3CL Protease |      1.99     |
| 256  |                                 NCGC00485045-01                                 | SARS-CoV2 3CL Protease |      1.99     |
| 257  |                                 NCGC00347834-02                                 | SARS-CoV2 3CL Protease |      2.01     |
| 258  |                                 NCGC00345841-02                                 | SARS-CoV2 3CL Protease |      2.01     |
| 259  |                                 NCGC00263239-03                                 | SARS-CoV2 3CL Protease |      2.04     |
| 260  |                         NCGC00492296-02&NCGC00492296-03                         | SARS-CoV2 3CL Protease |      2.04     |
| 261  |                                 NCGC00485134-01                                 | SARS-CoV2 3CL Protease |      2.05     |
| 262  |                                 NCGC00378631-01                                 | SARS-CoV2 3CL Protease |      2.06     |
| 263  |                 NCGC00015026-12&NCGC00015026-16&NCGC00260727-01                 | SARS-CoV2 3CL Protease |      2.06     |
| 264  |                                 NCGC00386240-01                                 | SARS-CoV2 3CL Protease |      2.06     |
| 265  |                                 NCGC00178783-03                                 | SARS-CoV2 3CL Protease |      2.06     |
| 266  |                                 NCGC00385525-01                                 | SARS-CoV2 3CL Protease |      2.06     |
| 267  |                                 NCGC00229510-02                                 | SARS-CoV2 3CL Protease |      2.06     |
| 268  |                         NCGC00188380-03&NCGC00188380-05                         | SARS-CoV2 3CL Protease |      2.06     |
| 269  |                                 NCGC00347662-02                                 | SARS-CoV2 3CL Protease |      2.07     |
| 270  |                         NCGC00263884-02&NCGC00263884-08                         | SARS-CoV2 3CL Protease |      2.08     |
| 271  |                                 NCGC00485932-01                                 | SARS-CoV2 3CL Protease |      2.09     |
| 272  |                                 NCGC00387835-03                                 | SARS-CoV2 3CL Protease |      2.12     |
| 273  |                         NCGC00250404-06&NCGC00250404-15                         | SARS-CoV2 3CL Protease |      2.12     |
| 274  |                                 NCGC00015171-05                                 | SARS-CoV2 3CL Protease |      2.13     |
| 275  |                                 NCGC00379172-01                                 | SARS-CoV2 3CL Protease |      2.14     |
| 276  |                                 NCGC00386857-03                                 | SARS-CoV2 3CL Protease |      2.15     |
| 277  |                                 NCGC00167423-01                                 | SARS-CoV2 3CL Protease |      2.15     |
| 278  |                                 NCGC00485142-01                                 | SARS-CoV2 3CL Protease |      2.16     |
| 279  |                                 NCGC00380700-01                                 | SARS-CoV2 3CL Protease |      2.18     |
| 280  |                                 NCGC00159564-05                                 | SARS-CoV2 3CL Protease |      2.18     |
| 281  |                                 NCGC00379229-03                                 | SARS-CoV2 3CL Protease |      2.18     |
| 282  |                         NCGC00386415-04&NCGC00386415-05                         | SARS-CoV2 3CL Protease |      2.18     |
